# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
nuwykoe | nuwyko o→e | Made of amethyst | Made of, resembling, or relating to amethyst. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) made of amethyst; 2) amethyst-purple; 3) amethyst-like
nybue | nybu u→e | Substantive | Characterized by or relating to content; substantive. [Abstract Noun -> Modifier (characterized by)] Senses: 1) substantive
nyhogoe | nyhogo o→e | Sentence-like | Made of, resembling, or relating to sentence. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) sentence-like; 2) resembling sentence
nytae | nyta a→e | Nose-like | Made of, resembling, or relating to nose. [Biological Noun -> Modifier (like)] Senses: 1) nose-like; 2) resembling nose
nyvumue | nyvumu u→e | Sunrise | Characterized by or relating to sunrise; sunrise. [Abstract Noun -> Modifier (characterized by)] Senses: 1) sunrise
obtae | obta a→e | Ant-like | Made of, resembling, or relating to ant. [Biological Noun -> Modifier (like)] Senses: 1) ant-like; 2) resembling ant
ocadue | ocadu u→e | Scientific | Characterized by or relating to science; scientific. [Abstract Noun -> Modifier (characterized by)] Senses: 1) scientific
odcanoe | odcano o→e | Rope-like | Made of, resembling, or relating to rope. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) rope-like; 2) resembling rope
ofxue | ofxu u→e | Ashamed | Feeling or showing shame. [Abstract Noun -> Modifier (having the quality of)] Senses: 1) ashamed; 2) embarrassed
ogirue | ogiru u→e | Experiential | Characterized by or relating to experience; experiential. [Abstract Noun -> Modifier (characterized by)] Senses: 1) experiential
ogzoe | ogzo o→e | Towel-like | Made of, resembling, or relating to towel. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) towel-like; 2) resembling towel
okezue | okezu u→e | Deceitful | Characterized by or relating to lie; deceitful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) deceitful
olifue | olifu u→e | Scholarly | Characterized by or relating to research; scholarly. [Abstract Noun -> Modifier (characterized by)] Senses: 1) scholarly
olkenkoe | olkenko o→e | Emblem-like | Made of, resembling, or relating to emblem. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) emblem-like; 2) resembling emblem
onasie | onasi i→e | Cultivated | Tending toward, or involving, the action 'to plant'. [Verb -> Modifier (prone to)] Senses: 1) cultivated; 2) farmed; 3) tilled
ongue | ongu u→e | Treacherous | Characterized by or relating to betrayal; treacherous. [Abstract Noun -> Modifier (characterized by)] Senses: 1) treacherous
opowoe | opowo o→e | Bulb-like | Made of, resembling, or relating to bulb. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) bulb-like; 2) resembling bulb
oqawae | oqawa a→e | Spore-like | Of, like, or befitting a spore. [Biological Noun -> Modifier (like)] Senses: 1) spore-bearing; 2) of spores; 3) spore-like
oqoe | oqo o→e | Ticket-like | Made of, resembling, or relating to ticket. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) ticket-like; 2) resembling ticket
orkue | orku u→e | Graded | Characterized by or relating to score; graded. [Abstract Noun -> Modifier (characterized by)] Senses: 1) graded
osajue | osaju u→e | Western | Characterized by or relating to west; western. [Abstract Noun -> Modifier (characterized by)] Senses: 1) western
ostue | ostu u→e | Eastern | Characterized by or relating to east; eastern. [Abstract Noun -> Modifier (characterized by)] Senses: 1) eastern
oswyploe | oswyplo o→e | Hellish | Resembling or characteristic of hell; tormenting. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) hellish; 2) infernal
otmae | otma a→e | Disease-like | Made of, resembling, or relating to disease. [Biological Noun -> Modifier (like)] Senses: 1) disease-like; 2) resembling disease
otsinoe | otsino o→e | Of thread | Made of, resembling, or relating to thread. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of thread; 2) for weaving; 3) threaded
ouzue | ouzu u→e | Merciful | Characterized by or relating to mercy; merciful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) merciful
ovpae | ovpa a→e | Neck-like | Made of, resembling, or relating to neck. [Biological Noun -> Modifier (like)] Senses: 1) neck-like; 2) resembling neck
ovroe | ovro o→e | Fork-like | Made of, resembling, or relating to fork. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) fork-like; 2) resembling fork
oxahue | oxahu u→e | Project-based | Characterized by or relating to project; project-based. [Abstract Noun -> Modifier (characterized by)] Senses: 1) project-based
oxnoe | oxno o→e | Wallet-like | Made of, resembling, or relating to wallet. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wallet-like; 2) resembling wallet
oxtie | oxti i→e | Protected | Tending toward, or involving, the action 'protect'. [Verb -> Modifier (prone to)] Senses: 1) protected; 2) reinforced; 3) guarded
paduproe | padupro o→e | Of lava | Made of, resembling, or relating to lava. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of lava; 2) molten; 3) lava-filled
paeloe | paelo o→e | Paper-like | Made of, resembling, or relating to paper. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) paper-like; 2) resembling paper
pajae | paja a→e | Uncle-like | Made of, resembling, or relating to uncle. [Biological Noun -> Modifier (like)] Senses: 1) uncle-like; 2) resembling uncle
pamue | pamu u→e | In pain / Hurting | Feeling pain; hurting, sore. [Abstract Noun -> Modifier (characterized by)] Senses: 1) in pain; 2) hurting; 3) sore
panoe | pano o→e | Of books | Made of, resembling, or relating to book. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of books; 2) book-related; 3) for books
parawue | parawu u→e | Traditional | Characterized by or relating to tradition; traditional. [Abstract Noun -> Modifier (characterized by)] Senses: 1) traditional
parye | pary y→e | Previous | Coming before; previous, prior, pre-. [Preposition -> Modifier (positioned)] Senses: 1) previous; 2) prior
paswue | paswu u→e | Historical | Characterized by or relating to history; historical. [Abstract Noun -> Modifier (characterized by)] Senses: 1) historical
paxue | paxu u→e | Pleasant | Characterized by or relating to pleasure; pleasant. [Abstract Noun -> Modifier (characterized by)] Senses: 1) pleasant
pebae | peba a→e | Father-like | Made of, resembling, or relating to father. [Biological Noun -> Modifier (like)] Senses: 1) father-like; 2) resembling father
pedue | pedu u→e | Powerful | Characterized by or relating to power; powerful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) powerful
perinatue | perinatu u→e | Revolutionary | Characterized by or relating to revolution; revolutionary. [Abstract Noun -> Modifier (characterized by)] Senses: 1) revolutionary
pesue | pesu u→e | Sonic | Characterized by or relating to sound; sonic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) sonic
picaloe | picalo o→e | Hospital-like | Made of, resembling, or relating to hospital. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) hospital-like; 2) resembling hospital
pinye | piny y→e | Similar | Like another in kind; similar, alike. [Preposition -> Modifier (positioned)] Senses: 1) similar; 2) alike
pixrae | pixra a→e | Tooth-like | Made of, resembling, or relating to tooth. [Biological Noun -> Modifier (like)] Senses: 1) tooth-like; 2) resembling tooth
pizue | pizu u→e | Guilty | Feeling or bearing guilt. [Abstract Noun -> Modifier (having the quality of)] Senses: 1) guilty; 2) culpable
plahoe | plaho o→e | Lock-like | Made of, resembling, or relating to lock. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) lock-like; 2) resembling lock
plolsoe | plolso o→e | monetary | Monetary; relating to money or currency; financial. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) monetary
pluratae | plurata a→e | Berry-like | Made of, resembling, or relating to berry. [Biological Noun -> Modifier (like)] Senses: 1) berry-like; 2) resembling berry
pogafue | pogafu u→e | Calm / Peaceful | Characterized by peace; free from agitation. [Abstract Noun -> Modifier (having the quality of)] Senses: 1) calm; 2) peaceful; 3) serene; 4) tranquil
pokae | poka a→e | Hair-like | Made of, resembling, or relating to hair. [Biological Noun -> Modifier (like)] Senses: 1) hair-like; 2) resembling hair
ponxae | ponxa a→e | Virus-like | Made of, resembling, or relating to virus. [Biological Noun -> Modifier (like)] Senses: 1) virus-like; 2) resembling virus
pozmue | pozmu u→e | Dreamy | Characterized by or relating to dream; dreamy. [Abstract Noun -> Modifier (characterized by)] Senses: 1) dreamy
prazae | praza a→e | Kelp-like | Of, like, or befitting a kelp. [Biological Noun -> Modifier (like)] Senses: 1) made of kelp; 2) kelp-covered; 3) kelp-like
prigloe | priglo o→e | Beetroot-like | Made of, resembling, or relating to beetroot. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) beetroot-like; 2) resembling beetroot
pujypae | pujypa a→e | Heel-like | Made of, resembling, or relating to heel. [Biological Noun -> Modifier (like)] Senses: 1) heel-like; 2) resembling heel
purue | puru u→e | Curious | Characterized by curiosity; eager to know. [Abstract Noun -> Modifier (having the quality of)] Senses: 1) curious; 2) inquisitive
puxae | puxa a→e | Pig-like | Made of, resembling, or relating to pig. [Biological Noun -> Modifier (like)] Senses: 1) pig-like; 2) resembling pig
pyboe | pybo o→e | Candle-like | Made of, resembling, or relating to candle. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) candle-like; 2) resembling candle
pydrae | pydra a→e | Jungle | Of, like, or befitting a jungle tree. [Biological Noun -> Modifier (like)] Senses: 1) jungle; 2) of the jungle; 3) jungle-wood
pyhae | pyha a→e | Knee-like | Made of, resembling, or relating to knee. [Biological Noun -> Modifier (like)] Senses: 1) knee-like; 2) resembling knee
pyjue | pyju u→e | Chaotic | Characterized by or relating to chaos; chaotic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) chaotic
pytsoe | pytso o→e | Rod-like | Made of, resembling, or relating to rod. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) rod-like; 2) resembling rod
ragoe | rago o→e | Roof-like | Made of, resembling, or relating to roof. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) roof-like; 2) resembling roof
rajedue | rajedu u→e | Friday | Characterized by or relating to friday; friday. [Abstract Noun -> Modifier (characterized by)] Senses: 1) friday
rawetue | rawetu u→e | Cultural | Characterized by or relating to culture; cultural. [Abstract Noun -> Modifier (characterized by)] Senses: 1) cultural
reakue | reaku u→e | Theoretical | Characterized by or relating to theory; theoretical. [Abstract Noun -> Modifier (characterized by)] Senses: 1) theoretical
reduslue | reduslu u→e | Stylish / Stylistic | Having or relating to style. [Abstract Noun -> Modifier (characterized by)] Senses: 1) stylish; 2) stylistic
refoe | refo o→e | Coffee-like | Made of, resembling, or relating to coffee. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) coffee-like; 2) resembling coffee
relxue | relxu u→e | Relational | Characterized by or relating to relation; relational. [Abstract Noun -> Modifier (characterized by)] Senses: 1) relational
reslihie | reslihi i→e | Spiteful | Inclined to hate; spiteful, hateful. [Verb -> Modifier (prone to)] Senses: 1) spiteful; 2) hateful
resnoe | resno o→e | Of arrows | Made of, resembling, or relating to arrow. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of arrows; 2) arrow-related; 3) fletched
retadue | retadu u→e | Weekly | Characterized by or relating to week; weekly. [Abstract Noun -> Modifier (characterized by)] Senses: 1) weekly
retedue | retedu u→e | Sunday | Characterized by or relating to sunday; sunday. [Abstract Noun -> Modifier (characterized by)] Senses: 1) sunday
rewye | rewy y→e | Distant | Positioned far away; distant, remote, tele-. [Preposition -> Modifier (positioned)] Senses: 1) distant; 2) remote
rezae | reza a→e | President-like | Made of, resembling, or relating to president. [Biological Noun -> Modifier (like)] Senses: 1) president-like; 2) resembling president
ricodoe | ricodo o→e | Ore-like | Made of, resembling, or relating to ore. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) ore-like; 2) resembling ore
rinkawae | rinkawa a→e | Skull-shaped | Of, like, or befitting a skull. [Biological Noun -> Modifier (like)] Senses: 1) skull-shaped; 2) skull-patterned; 3) of a skull
rinue | rinu u→e | Wealthy | Characterized by or relating to wealth; wealthy. [Abstract Noun -> Modifier (characterized by)] Senses: 1) wealthy
riqoe | riqo o→e | Keyboard-like | Made of, resembling, or relating to keyboard. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) keyboard-like; 2) resembling keyboard
rokue | roku u→e | Shadowy | Characterized by or relating to dark; shadowy. [Abstract Noun -> Modifier (characterized by)] Senses: 1) shadowy
ruavae | ruava a→e | Dandelion-like | Made of, resembling, or relating to dandelion. [Biological Noun -> Modifier (like)] Senses: 1) dandelion-like; 2) resembling dandelion
rufocoe | rufoco o→e | Anchor-like | Made of, resembling, or relating to anchor. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) anchor-like; 2) resembling anchor
rugoxue | rugoxu u→e | Monthly | Characterized by or relating to month; monthly. [Abstract Noun -> Modifier (characterized by)] Senses: 1) monthly
rukojoe | rukojo o→e | Vein-like | Made of, resembling, or relating to vein. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) vein-like; 2) resembling vein
ryroboe | ryrobo o→e | Stem-like | Made of, resembling, or relating to stem. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) stem-like; 2) resembling stem
ryzusue | ryzusu u→e | Discounted | Offered at a reduced price. [Abstract Noun -> Modifier (characterized by)] Senses: 1) discounted; 2) reduced-price
sacye | sacy y→e | Outer | Positioned outside; outer, outward, external. [Preposition -> Modifier (positioned)] Senses: 1) outer; 2) outward; 3) external
